Individual,Species,Treatment,Tray,NoduleNumber,TotalNoduleWeight,DateHarvested,Notes,Soils,ARAs
432,BA,S1,22,19,0.0327,6/21/2024,,soils collected,
441,BA,S1,23,6,0.0098,6/21/2024,,soils collected,
442,BA,S1,23,9,0.0326,6/21/2024,,,
443,BA,S1,23,6,0.0154,6/21/2024,,,
444,BA,S1,23,8,0.0453,6/21/2024,,soils collected,
453,BA,S1,23,13,0.0143,6/21/2024,,soils collected,
454,BA,S1,23,1,0.0088,6/21/2024,,,
455,BA,S1,23,37,0.0133,6/21/2024,,soils collected,
456,BA,S1,23,6,0.0128,6/21/2024,,,
465,BA,S1,24,19,0.0298,6/21/2024,,soils collected,
466,BA,S1,24,6,0.0071,6/21/2024,,,
467,BA,S1,24,8,0.011,6/21/2024,,,
468,BA,S1,24,12,0.0205,6/21/2024,,soils collected,
477,BA,S1,24,12,0.0179,6/21/2024,,,
478,BA,S1,24,7,0.0244,6/21/2024,,soils collected,
479,BA,S1,24,10,0.0094,6/21/2024,,,ARA
480,BA,S1,24,6,0.007,6/21/2024,,,
489,BA,S1,25,8,0.0137,6/21/2024,,,
490,BA,S1,25,11,0.065,6/21/2024,,soils collected,
491,BA,S1,25,11,0.0224,6/21/2024,,soils collected,
492,BA,S1,25,9,0.0208,6/21/2024,,,
505,BA,S1,26,2,0.0117,6/22/2024,,soils collected,ARA
506,BA,S1,26,5,0.0062,6/22/2024,,,
507,BA,S1,26,9,0.0022,6/22/2024,,,
508,BA,S1,26,9,0.0074,6/22/2024,,,
517,BA,S1,26,6,0.0221,6/23/2024,,soils collected,ARA
518,BA,S1,26,5,0.0062,6/23/2024,,soils collected,ARA
519,BA,S1,26,11,0.0216,6/23/2024,,soils collected,
520,BA,S1,26,1,0.0384,6/22/2024,,fused (pics),
525,BA,S1,27,6,0.0125,6/22/2024,,,
526,BA,S1,27,16,0.0176,6/22/2024,,,
527,BA,S1,27,5,0.0215,6/23/2024,,soils collected,
528,BA,S1,27,17,0.0423,6/23/2024,,soils collected,ARA
537,BA,S1,27,5,0.0248,6/22/2024,"premature, just cotyledons",,
538,BA,S1,27,0,0,6/22/2024,,,
539,BA,S1,27,24,0.0159,6/22/2024,,,
540,BA,S1,27,0,0,6/22/2024,plant prematurely died; hardly no anpp or bnpp (pics); should be NA instead of zero?,,
549,BA,S1,28,13,0.0171,6/23/2024,,soils collected,
550,BA,S1,28,18,0.0543,6/23/2024,,soils collected,ARA
551,BA,S1,28,5,0.0053,6/23/2024,,soils collected,ARA
552,BA,S1,28,0,0,6/22/2024,"premature, just cotyledons",,
561,BA,S1,29,3,0.0146,6/23/2024,,soils collected,
562,BA,S1,29,6,0.0261,6/22/2024,,,
563,BA,S1,29,19,0.0178,6/22/2024,,,
564,BA,S1,29,8,0.0149,6/23/2024,,soils collected,
573,BA,S1,29,9,0.0519,6/23/2024,,soils collected,
574,BA,S1,29,7,0.0194,6/23/2024,,soils collected,ARA
575,BA,S1,29,3,0.0133,6/23/2024,,soils collected,
576,BA,S1,29,9,0.0219,6/23/2024,,soils collected,ARA
581,BA,S1,30,28,0.0176,6/23/2024,,soils collected,ARA
582,BA,S1,30,11,0.0263,6/23/2024,,soils collected,
583,BA,S1,30,5,0.0661,6/23/2024,,soils collected,
584,BA,S1,30,3,0.0098,6/23/2024,,soils collected,ARA
593,BA,S1,30,12,0.0992,6/23/2024,,soils collected,
594,BA,S1,30,8,0.0466,6/23/2024,,soils collected,ARA
595,BA,S1,30,DEAD,DEAD,6/22/2024,pic,,
596,BA,S1,30,5,0.0219,6/22/2024,,,
609,BA,S2,31,0,0,6/19/2024,,soils collected,
610,BA,S2,31,0,0,6/19/2024,,,
611,BA,S2,31,0,0,6/23/2024,,,
637,BA,S2,32,0,0,6/23/2024,,,
642,BA,S2,33,0,0,6/23/2024,,,
654,BA,S2,33,0,0,6/23/2024,,,
685,BA,S2,35,0,0,6/23/2024,,,
687,BA,S2,35,0,0,6/23/2024,,,
707,BA,S2,36,0,0,6/23/2024,,,
741,BA,S2,38,0,0,6/23/2024,,,
756,BA,S2,38,0,0,6/23/2024,,,
767,BA,S2,39,0,0,6/23/2024,,,
791,BA,S2,40,0,0,6/23/2024,,,
801,BA,S2,41,0,0,6/23/2024,,,
828,BA,S2,42,0,0,6/23/2024,,,
850,BA,S2,43,32,0.0334,6/23/2024,,soils collected,ARA
851,BA,S2,43,0,0,6/19/2024,,soils collected,
852,BA,S2,43,0,0,6/23/2024,,,
861,BA,S2,44,0,0,6/23/2024,,,
888,BA,S2,45,0,0,6/23/2024,,,
900,BA,S2,45,0,0,6/23/2024,,,
909,BA,S3,46,11,0.0131,6/19/2024,,soils collected,
910,BA,S3,46,11,0.0055,6/20/2024,,,
911,BA,S3,46,0,0,6/20/2024,premature (pic),,
912,BA,S3,46,12,0.0083,6/20/2024,plant and nodules look dead,,
921,BA,S3,47,11,0.0026,6/20/2024,plant and nodules look dead,,
922,BA,S3,47,14,0.0045,6/20/2024,plant and nodules look mostly dead,,
923,BA,S3,47,9,0.005,6/20/2024,found bug carcas on top of soil; plant and nodules look mostly dead,,
924,BA,S3,47,9,0.005,6/20/2024,plant and nodules look mostly dead,,
933,BA,S3,47,4,0.0011,6/20/2024,plant looks dead but nodules look fine,,
934,BA,S3,47,6,0.0088,6/20/2024,,soils collected,ARA
935,BA,S3,47,6,0.0163,6/20/2024,plant looks dead but nodules look fine,,
936,BA,S3,47,8,0.0106,6/20/2024,,,
945,BA,S3,48,8,0.0048,6/20/2024,,soils collected,ARA
946,BA,S3,48,10,0.0159,6/21/2024,,soils collected,
947,BA,S3,48,23,0.0213,6/21/2024,,,
948,BA,S3,48,7,0.0172,6/21/2024,,,
957,BA,S3,48,9,0.0193,6/21/2024,,soils collected,
958,BA,S3,48,16,0.0129,6/21/2024,,,
959,BA,S3,48,4,0.0057,6/21/2024,,soils collected,
960,BA,S3,48,0,0,6/21/2024,"premature, just cotyledons",,
969,BA,S3,49,11,0.0111,6/21/2024,,,
970,BA,S3,49,12,0.0091,6/21/2024,,soils collected,
971,BA,S3,49,9,0.0064,6/21/2024,,soils collected,
972,BA,S3,49,7,0.0094,6/21/2024,,,
985,BA,S3,50,4,0.0115,6/21/2024,one nodule has like 3 fused nodules,soils collected,
986,BA,S3,50,10,0.0137,6/21/2024,,,
987,BA,S3,50,7,0.0053,6/21/2024,,soils collected,
988,BA,S3,50,5,0.0044,6/21/2024,,,
997,BA,S3,50,10,0.0123,6/21/2024,,,
998,BA,S3,50,5,0.0102,6/21/2024,,soils collected,
999,BA,S3,50,12,0.0099,6/21/2024,sample difficult to push into gas vial,soils collected,
1000,BA,S3,50,0,0,6/21/2024,"premature, just cotyledons",,
1001,BA,S3,51,17,0.0168,6/21/2024,,soils collected,
1002,BA,S3,51,8,0.0128,6/21/2024,several fused nodules,soils collected,
1003,BA,S3,51,12,0.004,6/21/2024,,,
1004,BA,S3,51,DEAD,DEAD,6/21/2024,,,
1013,BA,S3,51,5,0.0077,6/21/2024,,,
1014,BA,S3,51,0,0,6/21/2024,"premature, just cotyledons",,
1015,BA,S3,51,DEAD,DEAD,6/21/2024,,,
1016,BA,S3,51,16,0.008,6/21/2024,,,
1029,BA,S3,52,3,0.0022,6/21/2024,gas sample hard to push into vial,soils collected,
1030,BA,S3,52,11,0.0085,6/21/2024,,soils collected,
1031,BA,S3,52,20,0.012,6/21/2024,,,
1032,BA,S3,52,12,0.006,6/21/2024,,soils collected,ARA
1041,BA,S3,53,0,0,6/21/2024,"premature, just cotyledons",,
1042,BA,S3,53,8,0.0067,6/21/2024,,soils collected,ARA
1043,BA,S3,53,8,0.0105,6/21/2024,,soils collected,
1044,BA,S3,53,0,0,6/21/2024,"big ANPP, but no nodules!",,
1053,BA,S3,53,0,0,6/21/2024,"premature, just cotyledons",,
1054,BA,S3,53,15,0.0086,6/21/2024,,soils collected,
1055,BA,S3,53,9,0.0043,6/21/2024,,soils collected,
1056,BA,S3,53,11,0.0061,6/21/2024,,,
1065,BA,S3,54,6,0.0043,6/21/2024,,,
1066,BA,S3,54,23,0.0148,6/22/2024,,soils collected,
1067,BA,S3,54,11,0.0113,6/22/2024,,soils collected,
1068,BA,S3,54,15,0.0063,6/22/2024,,,
1077,BA,S3,54,12,0.009,6/22/2024,,soils collected,
1078,BA,S3,54,9,0.0052,6/22/2024,,,
1079,BA,S3,54,2,0.0043,6/22/2024,,soils collected,
1080,BA,S3,54,1,0.0096,6/22/2024,,,
1089,BA,S3,55,13,0.0093,6/22/2024,,soils collected,
1090,BA,S3,55,4,0.0048,6/22/2024,,,
1091,BA,S3,55,8,0.0093,6/22/2024,,soils collected,ARA
1092,BA,S3,55,7,0.0107,6/22/2024,,,
1101,BA,S3,56,6,0.0042,6/22/2024,,soils collected,
1102,BA,S3,56,4,0.0088,6/22/2024,,soils collected,
1103,BA,S3,56,6,0.0198,6/22/2024,,soils collected,ARA
1104,BA,S3,56,9,0.0177,6/22/2024,,soils collected,ARA
1113,BA,S3,56,8,0.0053,6/22/2024,,,
1114,BA,S3,56,5,0.0035,6/22/2024,,,
1115,BA,S3,56,7,0.0097,6/22/2024,,,
1116,BA,S3,56,8,0.0133,6/22/2024,,,
1125,BA,S3,57,13,0.0131,6/22/2024,,soils collected,
1126,BA,S3,57,0,0,6/22/2024,premature growth,,
1127,BA,S3,57,7,0.0124,6/22/2024,,soils collected,
1128,BA,S3,57,14,0.0092,6/22/2024,,,
1137,BA,S3,57,6,0.0207,6/22/2024,,soils collected,
1138,BA,S3,57,4,0.0257,6/22/2024,,soils collected,ARA
1139,BA,S3,57,7,0.0096,6/22/2024,,soils collected,
1140,BA,S3,57,7,0.0058,6/22/2024,,,
1149,BA,S3,58,12,0.0251,6/22/2024,,soils collected,
1150,BA,S3,58,4,0.0063,6/22/2024,,soils collected,ARA
1151,BA,S3,58,12,0.0146,6/22/2024,,soils collected,
1152,BA,S3,58,7,0.0037,6/22/2024,,soils collected,
1161,BA,S3,59,17,0.0064,6/22/2024,,soils collected,
1162,BA,S3,59,24,0.0205,6/22/2024,,soils collected,ARA
1163,BA,S3,59,0,0,6/22/2024,"premature, just cotyledons",,
1164,BA,S3,59,0,0,6/22/2024,"premature, just cotyledons",,
1173,BA,S3,59,3,0.0041,6/22/2024,,soils collected,
1174,BA,S3,59,2,0.0017,6/22/2024,"premature, just cotyledons",,
1175,BA,S3,59,16,0.0138,6/22/2024,,soils collected,ARA
1176,BA,S3,59,4,0.0031,6/22/2024,,soils collected,
1185,BA,S3,60,4,0.0083,6/22/2024,,,
1186,BA,S3,60,9,0.014,6/22/2024,,soils collected,
1187,BA,S3,60,5,0.0167,6/22/2024,,,
1188,BA,S3,60,32,0.0141,6/22/2024,,soils collected,ARA
1197,BA,S3,60,5,0.0072,6/22/2024,,soils collected,
1198,BA,S3,60,12,0.0061,6/22/2024,,,
1199,BA,S3,60,9,0.0102,6/22/2024,,,
1200,BA,S3,60,6,0.0072,6/22/2024,,,
1,CN ,Control,1,0,0,6/7/2024,,soils collected,
2,CN ,Control,1,0,0,6/7/2024,,soils collected,
3,CN ,Control,1,0,0,6/7/2024,,soils collected,
4,CN ,Control,1,0,0,6/7/2024,,soils collected,
13,CN ,Control,1,0,0,6/7/2024,,soils collected,
14,CN ,Control,1,0,0,6/7/2024,,soils collected,
15,CN ,Control,1,0,0,6/7/2024,,soils collected,
16,CN ,Control,1,0,0,6/8/2024,,soils collected,
29,CN ,Control,2,0,0,6/8/2024,,soils collected,
30,CN ,Control,2,0,0,6/10/2024,,soils collected,
31,CN ,Control,2,0,0,6/10/2024,,soils collected,
32,CN ,Control,2,0,0,6/10/2024,,soils collected,
41,CN ,Control,3,0,0,6/12/2024,,soils collected,
42,CN ,Control,3,0,0,6/10/2024,,soils collected,
43,CN ,Control,3,0,0,6/10/2024,,soils collected,
44,CN ,Control,3,0,0,6/10/2024,,soils collected,
53,CN ,Control,3,0,0,6/10/2024,,soils collected,
54,CN ,Control,3,0,0,6/10/2024,,soils collected,
55,CN ,Control,3,0,0,6/10/2024,,soils collected,
56,CN ,Control,3,0,0,6/10/2024,,soils collected,
65,CN ,Control,4,0,0,6/10/2024,,soils collected,
66,CN ,Control,4,1,NotDetected,6/10/2024,,soils collected,
67,CN ,Control,4,0,0,6/10/2024,,soils collected,
68,CN ,Control,4,0,0,6/10/2024,,soils collected,
77,CN ,Control,4,0,0,6/10/2024,,soils collected,
78,CN ,Control,4,0,0,6/10/2024,,soils collected,
79,CN ,Control,4,0,0,6/10/2024,,soils collected,
80,CN ,Control,4,0,0,6/10/2024,,soils collected,
89,CN ,Control,5,0,0,6/11/2024,,soils collected,
90,CN ,Control,5,0,0,6/11/2024,,soils collected,
91,CN ,Control,5,0,0,6/11/2024,,soils collected,
92,CN ,Control,5,0,0,6/11/2024,,soils collected,
101,CN ,Control,6,0,0,6/11/2024,,soils collected,
102,CN ,Control,6,0,0,6/11/2024,,soils collected,
103,CN ,Control,6,0,0,6/11/2024,,soils collected,
104,CN ,Control,6,0,0,6/11/2024,,,
113,CN ,Control,6,0,0,6/11/2024,,,
114,CN ,Control,6,0,0,6/11/2024,,,
115,CN ,Control,6,0,0,6/11/2024,,,
116,CN ,Control,6,0,0,6/11/2024,,soils collected,
125,CN ,Control,7,7,0.0185,6/12/2024,,soils collected,
126,CN ,Control,7,0,0,6/11/2024,,,
127,CN ,Control,7,0,0,6/11/2024,,,
128,CN ,Control,7,0,0,6/12/2024,,,
137,CN ,Control,7,0,0,6/12/2024,,soils collected,ARA
138,CN ,Control,7,0,0,6/12/2024,,soils collected,
139,CN ,Control,7,0,0,6/13/2024,,soils collected,
140,CN ,Control,7,0,0,6/13/2024,,,
149,CN ,Control,8,0,0,6/13/2024,,,
150,CN ,Control,8,0,0,6/13/2024,,,
151,CN ,Control,8,0,0,6/13/2024,,soils collected,
152,CN ,Control,8,0,0,6/13/2024,,,
161,CN ,Control,9,14,0.0027,6/13/2024,"gas sample, no soil",,ARA
162,CN ,Control,9,0,0,6/13/2024,,,
163,CN ,Control,9,0,0,6/13/2024,,,
164,CN ,Control,9,0,0,6/13/2024,,,
173,CN ,Control,9,0,0,6/13/2024,,,
174,CN ,Control,9,0,0,6/13/2024,,,
175,CN ,Control,9,0,0,6/13/2024,,,
176,CN ,Control,9,0,0,6/13/2024,,,
181,CN ,Control,10,0,0,6/11/2024,,,
182,CN ,Control,10,0,0,6/13/2024,,,
183,CN ,Control,10,0,0,6/13/2024,,,
184,CN ,Control,10,0,0,6/13/2024,,,
193,CN ,Control,10,0,0,6/13/2024,,,
194,CN ,Control,10,0,0,6/13/2024,,,
195,CN ,Control,10,0,0,6/13/2024,,,
196,CN ,Control,10,0,0,6/13/2024,,,
209,CN ,Control,11,0,0,6/13/2024,,,
210,CN ,Control,11,0,0,6/13/2024,,,
211,CN ,Control,11,0,0,6/13/2024,,,
212,CN ,Control,11,0,0,6/13/2024,,soils collected,
221,CN ,Control,12,0,0,6/13/2024,,,
222,CN ,Control,12,0,0,6/13/2024,,,
223,CN ,Control,12,0,0,6/13/2024,,,
224,CN ,Control,12,0,0,6/13/2024,,soils collected,
233,CN ,Control,12,0,0,6/13/2024,,,
234,CN ,Control,12,0,0,6/13/2024,,,
235,CN ,Control,12,0,0,6/13/2024,,soils collected,
236,CN ,Control,12,0,0,6/13/2024,,,
245,CN ,Control,13,0,0,6/13/2024,,,
246,CN ,Control,13,0,0,6/13/2024,,,
247,CN ,Control,13,52,0.0373,6/13/2024,,soils collected,ARA
248,CN ,Control,13,0,0,6/13/2024,,soils collected,ARA
257,CN ,Control,13,0,0,6/13/2024,,,
258,CN ,Control,13,2,0.002,6/13/2024,,soils collected,ARA
259,CN ,Control,13,0,0,6/13/2024,,,
260,CN ,Control,13,0,0,6/13/2024,,,
269,CN ,Control,14,3,0.005,6/13/2024,,soils collected,ARA
270,CN ,Control,14,0,0,6/13/2024,,,
271,CN ,Control,14,0,0,6/13/2024,,,
272,CN ,Control,14,0,0,6/13/2024,,soils collected,
281,CN ,Control,15,0,0,6/13/2024,,,
282,CN ,Control,15,5,0.0109,6/13/2024,,soils collected,
283,CN ,Control,15,0,0,6/14/2024,,soils collected,
284,CN ,Control,15,0,0,6/14/2024,,soils collected,
293,CN ,Control,15,0,0,6/14/2024,,,
294,CN ,Control,15,0,0,6/14/2024,,,
295,CN ,Control,15,0,0,6/14/2024,,soils collected,
296,CN ,Control,15,36,0.0196,6/14/2024,,soils collected,ARA
305,CN ,S1,16,34,0.0093,6/7/2024,,soils collected,ARA
306,CN ,S1,16,41,0.0131,6/7/2024,,,
307,CN ,S1,16,29,0.012,6/7/2024,,soils collected,ARA
308,CN ,S1,16,32,0.027,6/7/2024,,soils collected,ARA
317,CN ,S1,16,36,0.0096,6/7/2024,,soils collected,ARA
318,CN ,S1,16,39,0.0188,6/7/2024,,,
319,CN ,S1,16,40,0.0111,6/7/2024,,soils collected,ARA
320,CN ,S1,16,38,0.0136,6/7/2024,,,
329,CN ,S1,17,36,0.0431,6/7/2024,,soils collected,ARA
330,CN ,S1,17,35,0.0145,6/8/2024,35 alive and 6 dead (0.0007),,
331,CN ,S1,17,23,0.0595,6/8/2024,,soils collected,ARA
332,CN ,S1,17,50,0.0533,6/8/2024,,soils collected,ARA
341,CN ,S1,18,16,0.008,6/8/2024,,,
342,CN ,S1,18,55,0.0401,6/8/2024,,soils collected,ARA
343,CN ,S1,18,44,0.035,6/8/2024,,,
344,CN ,S1,18,30,0.0113,6/8/2024,,soils collected,ARA
353,CN ,S1,18,41,0.0364,6/8/2024,,,
354,CN ,S1,18,73,0.0401,6/8/2024,,,
355,CN ,S1,18,22,0.0183,6/8/2024,,soils collected,ARA
356,CN ,S1,18,42,0.0341,6/8/2024,,,
365,CN ,S1,19,41,0.0444,6/8/2024,,,
366,CN ,S1,19,42,0.0115,6/8/2024,,soils collected,ARA
367,CN ,S1,19,36,0.0266,6/8/2024,,soils collected,ARA
368,CN ,S1,19,56,0.0486,6/9/2024,,,
377,CN ,S1,19,35,0.0352,6/9/2024,,soils collected,ARA
378,CN ,S1,19,44,0.0168,6/9/2024,,,
379,CN ,S1,19,60,0.0276,6/9/2024,,soils collected,ARA
380,CN ,S1,19,28,0.0367,6/9/2024,,,
389,CN ,S1,20,34,0.0268,6/9/2024,,soils collected,ARA
390,CN ,S1,20,33,0.0245,6/9/2024,,,
391,CN ,S1,20,54,0.0282,6/9/2024,,soils collected,ARA
392,CN ,S1,20,37,0.023,6/10/2024,,,
401,CN ,S1,21,43,0.0181,6/10/2024,,soils collected,ARA
402,CN ,S1,21,32,0.0286,6/10/2024,,,
403,CN ,S1,21,28,0.0198,6/10/2024,,soils collected,ARA
404,CN ,S1,21,13,0.015,6/10/2024,,soils collected,ARA
413,CN ,S1,21,46,0.0235,6/10/2024,,,
414,CN ,S1,21,66,0.021,6/10/2024,,,
415,CN ,S1,21,56,0.0197,6/10/2024,,soils collected,ARA
416,CN ,S1,21,67,0.0293,6/10/2024,,,
425,CN ,S1,22,50,0.0445,6/10/2024,,soils collected,ARA
426,CN ,S1,22,35,0.0161,6/10/2024,,,
427,CN ,S1,22,46,0.0293,6/10/2024,,soils collected,ARA
428,CN ,S1,22,32,0.0181,6/10/2024,,soils collected,ARA
437,CN ,S1,22,29,0.0204,6/10/2024,,,
438,CN ,S1,22,55,0.0269,6/10/2024,,,
439,CN ,S1,22,47,0.0255,6/10/2024,,soils collected,ARA
440,CN ,S1,22,24,0.0189,6/10/2024,,,
449,CN ,S1,23,37,0.0242,6/10/2024,,,
450,CN ,S1,23,42,0.0122,6/11/2024,,soils collected,ARA
451,CN ,S1,23,47,0.0174,6/10/2024,one small nodule lost,,
